"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"SparkFun-LED-LED-0603";1;"LED-TX";;;
2;"J2";"SparkFun-Connectors-1X11_NO_SILK_KIT";1;"RIGHT";;;
3;"Y1";"nixiemisc-CRYSTAL2.0X1.6";1;"26MHz";;;
4;"ANT1";"ANT_2450AT18B100E";1;"2450AT18B100E";;;
5;"J1";"SparkFun-Connectors-1X11_NO_SILK_KIT";1;"LEFT";;;
6;"J3";"Socket_Strip_Straight_2x04_Pitch2.54mm";1;"ESP01 Header";;;
7;"U5";"nixiemisc-QFN-32";1;"ESP8285QFN-32";;;
8;"R7,R14,R9";"SparkFun-Resistors-0603";3;"10k";;;
9;"C7";"SparkFun-Capacitors-0603";1;"10uF";;;
10;"C5,C6";"SparkFun-Capacitors-0603";2;"12pF";;;
11;"R2";"SparkFun-Resistors-0603";1;"12K";;;
12;"R15";"SparkFun-Resistors-0603";1;"470";;;
13;"R11";"SparkFun-Resistors-0603";1;"220K";;;
14;"R12";"SparkFun-Resistors-0603";1;"100K";;;
15;"X1";"adafruit-U.FL";1;"ANTENNA_U.FL";;;
16;"C9";"SparkFun-Capacitors-0603";1;"5.6pF";;;
17;"R8";"SparkFun-Resistors-0603";1;"DNP";;;
18;"R10";"SparkFun-Resistors-0603";1;"0";;;
19;"C8";"SparkFun-Capacitors-0603";1;"100nF";;;
20;"C10";"SparkFun-Capacitors-0603";1;"0.1uF";;;
21;"K1";"nixiemisc-B3U-1100P(M)";1;"RST";;;
22;"G***";"mermaid_l";1;"LOGO";;;
